,name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,remove_code,sep,name,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,significance_max,flux_aper90_ave_b,flux_aper90_ave_h,flux_aper90_ave_m,flux_aper90_ave_s,e_flux_aper90_ave_b,e_flux_aper90_ave_h,e_flux_aper90_ave_m,e_flux_aper90_ave_s,flux_flag,ks_intra_prob_b,kp_intra_prob_b,var_inter_prob_b,kp_prob_b_max,var_inter_prob,dof,chisqr,EDR3Name_gaia,Plx_gaia,e_Plx_gaia,X_PU_gaia,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,PM_gaia,pmRA_gaia,e_pmRA_gaia,pmDE_gaia,e_pmDE_gaia,_r_gaia,X_PU_2mass,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,_r_2mass,X_PU_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,pmRA_catwise,pmDE_catwise,_r_catwise,X_PU_unwise,e_FW1_unwise,e_FW2_unwise,_r_unwise,W1mag_allwise,W2mag_allwise,W3mag_allwise,W4mag_allwise,e_W1mag_allwise,e_W2mag_allwise,e_W3mag_allwise,X_PU_allwise,e_W4mag_allwise,_r_allwise,X_PU_gaiadist,rgeo,rpgeo,_r_gaiadist,b_rgeo,B_rgeo,b_rpgeo,B_rpgeo,Flag_gaiadist,main_id,main_type,_r_simbad,W1mag_unwise,W2mag_unwise,e_W1mag_unwise,e_W2mag_unwise,pm_gaia,W1mag_comb,e_W1mag_comb,W2mag_comb,e_W2mag_comb,CSC_flags
0,SDSS J00001+1356,0.039167,13.938333,,AGN,Q,2010A&A...518A..10V,0,0.604358,2CXO J000009.3+135618,0.039125,13.93849444,0.79,0.77,64.2,1.95,1.95,4.15e-15,1.99e-15,4.84e-16,1.67e-15,1.92e-15,1.5e-15,4.84e-16,1.1e-15,0,0.47,0.923,,0.923,,0,,Gaia EDR3 2767427649937817728,,,0.7900006782073545,18.49385,0.003158,18.774363,0.017497,18.01724,0.014972,0.2,-0.2,0.196,-0.008,0.121,0.172678543,0.7900006173061133,,,,,,,,0.7961547684615348,15.594,0.02,14.668,0.021,-0.01588,0.01325,0.390732829,0.8215541524111725,7.8114,30.325,0.452,15.489,14.605,10.847,8.827,0.045,0.059,0.123,0.8187343741067918,0.462,0.442,0.7900006782073545,5341.84473,6771.80908,0.173,3365.31104,12734.5479,5695.6582,8208.14746,10033.0,SDSS J000009.38+135618.4,QSO,0.134837,15.583785818688474,14.656087539843218,-0.0145736228023844,-0.0247035942446655,,15.594,0.02,14.668,0.021,
1,PB 5698,0.627917,0.833056,,AGN,Q,2010A&A...518A..10V,0,0.211831,2CXO J000230.7+004959,0.627958333,0.833072222,0.72,0.72,64.9,11.07,11.07,1.43e-13,5.74e-14,2.87e-14,5.68e-14,1.66e-14,1.41e-14,5.29e-15,6.91e-15,0,0.316,0.318,,0.318,,0,,Gaia EDR3 2738349136498974336,,,0.7200003431293349,17.834246,0.003417,18.13322,0.013295,17.337488,0.011436,0.202,0.185,0.204,-0.08,0.1,0.124220206,0.8141255638344247,16.86,16.21,15.532,0.15,,,0.27,0.7222215682799289,14.459,0.015,13.136,0.011,-0.00674,-0.00103,0.114696926,0.723541763610588,10.388,40.502,0.161,14.497,13.178,10.245,7.915,0.03,0.031,0.086,0.7298334013243845,0.235,0.072,0.7200003431293349,2676.2002,4197.05273,0.124,1935.71948,4579.77588,3410.53809,5053.73486,10033.0,QSO B2359+005,QSO,0.08965,14.450252185287068,13.126988822725936,-0.0068227135049467,-0.0080685653043272,,14.459,0.015,13.136,0.011,
2,3C   2.0,1.594167,-0.073611,,AGN,Q,2010A&A...518A..10V,0,0.58328,2CXO J000622.6-000424,1.594333333,-0.073572222,0.78,0.76,40.5,25.42,25.42,6.75e-13,4.04e-13,1.17e-13,1.54e-13,3.07e-14,2.71e-14,7.65e-15,1.22e-14,0,0.488,0.588,0.598,0.076,,0,,Gaia EDR3 2545889285438774528,,,0.7800037451998805,20.041252,0.010339,20.15889,0.065097,19.426401,0.065348,0.034,0.003,0.835,-0.034,0.592,0.653216126,0.7800029080291945,,,,,,,,0.7859618925456883,15.335,0.02,14.33,0.019,0.01455,0.00648,0.73357094,0.8008412992185155,9.0301,34.457,0.76,15.299,14.245,11.165,8.398,0.041,0.049,0.165,0.8028577561025365,,0.739,0.7800037451998805,1963.5354,11836.8857,0.653,1240.3252,2742.6394,9928.94727,14323.5811,10023.0,4C -00.01,QSO,0.63518,15.290072928579724,14.280816541574069,-0.0128542295472662,-0.0198668219464451,,15.335,0.02,14.33,0.019,extent
3,SDSS J00069-0017,1.747083,-0.294444,,AGN,Q,2010A&A...518A..10V,0,0.789596,2CXO J000659.2-001740,1.747041667,-0.294661111,0.84,0.79,109.8,4.11,4.11,3.06e-14,1.37e-14,6.21e-15,1.07e-14,8.9e-15,7.63e-15,2.77e-15,3.66e-15,0,0.309,0.618,,0.618,,0,,Gaia EDR3 2545776959158460800,,,0.840004611192629,19.23924,0.005979,19.316618,0.041708,18.867884,0.049247,0.389,0.358,0.387,0.153,0.354,0.118463502,0.8400043719343846,,,,,,,,0.8680831439838467,16.549,0.037,15.65,0.057,0.07872,-0.08177,0.00656505,1.0416637388662813,8.2485,32.851,0.309,,,,,,,,0.8582033470389637,,5.364,0.840004611192629,3304.13647,3908.68726,0.118,2272.69238,5593.99512,3113.78271,5125.26807,10022.0,2SLAQ J000659.28-001740.8,QSO,0.11655,16.488542067147048,15.621306199502584,-0.0354092008735862,-0.0651021593854551,,16.549,0.037,15.65,0.057,
4,2MASS J00070+1554,1.765,15.906389,,AGN,A,2010A&A...518A..10V,0,0.669382,2CXO J000703.6+155423,1.765,15.906575,0.72,0.72,25.4,8.63,8.63,5.56e-13,5.35e-13,1.59e-14,4.66e-15,7.03e-14,7e-14,5.63e-15,2.82e-15,0,0.047,0.135,,0.135,,0,,Gaia EDR3 2769535856108234880,,,0.7200014166421896,18.496683,0.008164,18.357317,0.030187,16.73377,0.012921,0.583,0.58,0.217,-0.055,0.243,0.173946626,0.7334861133815145,15.264,14.278,13.165,0.053,0.05,0.039,0.217,0.7214820292450256,11.743,0.012,10.71,0.008,0.01632,0.0149,0.191815297,0.7200853272519306,24.343,80.554,0.201,11.61,10.588,7.682,5.208,0.023,0.021,0.018,0.7230382552282555,0.039,0.196,0.7200014166421896,3715.78882,1679.33557,0.174,1964.88049,5149.33105,1491.05286,1897.44373,10033.0,2MASS J00070361+1554238,Seyfert_1,0.146149,11.722829738807194,10.673927745196158,-0.0012966725424337,-0.0016756469822413,,11.743,0.012,10.71,0.008,
5,SDSS J00089+1550,2.236667,15.845833,,AGN,Q,2010A&A...518A..10V,0,0.751266,2CXO J000856.7+155045,2.236666667,15.84604167,0.9,0.76,75.1,4.89,4.89,3.67e-14,1.07e-14,1.16e-14,1.44e-14,9.37e-15,7.36e-15,4.01e-15,4.19e-15,0,0.179,0.103,,0.103,,0,,Gaia EDR3 2769540666471561472,,,0.9000019920762398,19.090563,0.006976,19.351732,0.042518,18.648952,0.031748,0.363,-0.353,0.325,0.086,0.323,0.024324988,0.9000018354315729,,,,,,,,0.905300029702971,15.616,0.022,14.293,0.019,0.01124,-0.03901,0.044986782,0.9150018053425906,8.2332,32.368,0.174,15.431,14.22,11.255,8.431,0.043,0.048,0.196,0.921139372614264,,0.02,0.9000019920762398,1440.69666,8015.11523,0.024,1054.01428,2005.5603,2295.58594,10340.4707,10123.0,[VV2006] J000856.8+155045,QSO,0.023552,15.562869030403068,14.24894349378452,-0.0150674790921749,-0.0181224780711691,,15.616,0.022,14.293,0.019,
6,Q 0010-002B,3.275833,0.075556,,AGN,Q,2010A&A...518A..10V,0,0.595434,2CXO J001306.1+000431,3.275666667,0.075513889,0.75,0.74,111.0,3.65,3.65,2.27e-14,1.41e-14,3.55e-15,5.07e-15,8.99e-15,8.54e-15,1.77e-15,2.15e-15,0,0.575,0.247,,0.247,,0,,Gaia EDR3 2545465385051233664,,,0.750000182888751,18.45336,0.003627,18.64313,0.016603,18.037374,0.024877,0.314,-0.245,0.176,-0.196,0.147,0.156734603,0.9859514170721598,17.338,16.245,15.884,0.222,0.196,0.261,0.854,0.7565321122243258,15.459,0.021,14.287,0.02,0.00552,0.0065,0.227179765,0.7703740629243693,8.9458,34.492,0.168,15.342,14.236,11.023,8.351,0.04,0.05,0.15,0.7738894215755892,0.334,0.229,0.750000182888751,3690.96924,7121.09375,0.157,2779.38208,4912.48145,5589.93066,8917.57031,10021.0,LBQS 0010-0012,QSO,0.179344,15.404620086082623,14.250063849063745,-0.0141511436280163,-0.0193316194375993,,15.459,0.021,14.287,0.02,
7,CXOMP J00186+1634,4.655833,16.579444,,AGN,Q,2010A&A...518A..10V,0,0.773615,2CXO J001837.3+163446,4.655625,16.57944722,0.82,0.78,28.1,9.54,9.54,1.45e-14,6.16e-15,3.17e-15,5.16e-15,1.93e-15,1.63e-15,5.81e-16,8.57e-16,0,0.729,0.52,,0.52,,0,,Gaia EDR3 2793520396598023424,,,0.8200009375946102,19.88511,0.009616,20.102427,0.100564,19.326174,0.063965,0.525,0.5,0.526,0.161,0.415,0.591520078,0.82000061726867,,,,,,,,0.842729121557455,,,,,,,0.89749028,1.032245131895036,8.1283,32.002,0.843,16.328,15.805,11.999,8.784,0.072,0.167,,0.9281444135052476,,0.748,0.8200009375946102,2373.55591,10054.0635,0.592,1569.56006,3513.23413,8172.8833,11731.8936,10033.0,[VV2006] J001837.4+163446,QSO,0.422553,16.401742475684127,15.680165287694576,-0.0322122480313008,-0.0669526168195422,,16.401742475684127,-0.0322122480313008,15.680165287694576,-0.0669526168195422,
8,CXOMP J00189+1629,4.72875,16.497778,,AGN,Q,2010A&A...518A..10V,0,0.394198,2CXO J001854.8+162952,4.728666667,16.49785278,0.98,0.8,67.7,6.55,6.55,8.33e-15,4.8e-15,1.48e-15,2.05e-15,1.51e-15,1.36e-15,4.04e-16,5.19e-16,0,0.502,0.565,,0.565,,0,,,,,0.98,,,,,,,,,,,,,0.98,,,,,,,,1.1314049496091132,17.656,0.094,17.012,0.16,-0.00584,-0.03685,0.539653284,1.2774898238342252,7.4741,0.0,0.856,,,,,,,,0.98,,,0.98,,,,,,,,,[VV2006] J001854.9+162952,QSO,0.469989,17.63267327005309,,-0.0920348973368272,,,17.656,0.094,17.012,0.16,
9,3C   9.0,5.105,15.681667,,AGN,Q,2010A&A...518A..10V,0,0.668274,2CXO J002025.2+154054,5.105083333,15.68183333,0.71,0.71,113.0,23.67,23.67,2.69e-13,1.78e-13,4.39e-14,4.67e-14,1.52e-14,1.45e-14,3.43e-15,3.08e-15,0,0.707,0.73,,0.73,,0,,Gaia EDR3 2792568082089075584,,,0.7100003712132269,17.785807,0.00384,18.068989,0.019501,17.225727,0.011468,0.124,-0.111,0.122,-0.055,0.106,0.178882502,0.7494668018283932,16.169,15.637,14.734,0.078,0.118,0.097,0.251,0.7119460984111649,14.093,0.014,13.095,0.011,0.01657,-0.01139,0.202389155,0.7130613487231516,11.251,41.433,0.228,14.019,13.004,10.162,8.505,0.028,0.03,0.073,0.7181674505593246,0.389,0.209,0.7100003712132269,8648.11133,5832.54199,0.179,5833.57129,13084.8281,5023.86963,7141.82812,10033.0,2C   26,BLLac,0.167763,14.08157827999452,13.080410165580572,-0.0052619504801782,-0.0079074192602818,,14.093,0.014,13.095,0.011,conf
