,NAME,RA,DEC,Class,SC_EP_8_FLUX,SC_EP_5_FLUX,SC_EP_4_FLUX,SC_EP_3_FLUX,SC_EP_2_FLUX,SC_FVAR,SC_DET_ML,G,BP,RP,J,H,K,W1,W2,W3
0,XMM J00005-2506,0.14416666666666664,-25.10583333333333,AGN,4.944556e-14,9.23789e-15,1.0977824e-14,9.691254999999999e-15,1.0288274e-14,,808.9057,,,,,,,,,
1,Q 0000-26,0.8458333333333332,-26.055,AGN,9.5515914e-14,2.5434517000000003e-14,2.0705439999999998e-14,1.8609361e-14,1.7416163e-14,0.27794376,4352.889,,,,,,,,,
2,2QZ J001522-3020,3.844583333333333,-30.33527777777777,AGN,1.0747056e-13,3.587398e-14,1.899527e-14,1.827023e-14,1.8205989e-14,0.36760196,2650.7,,,,,,,,,
3,XMS J00180+1616,4.51125,16.278333333333332,AGN,2.7863394e-14,5.7753726e-15,3.0967683e-15,5.259050999999998e-15,4.1351267999999996e-15,0.22841103,336.366,20.522211,20.654446,19.800704999999997,,,,,,
4,SDSS J00181-0057,4.536249999999999,-0.9527777777777776,AGN,5.957833000000002e-14,2.1418622e-14,1.2239987e-14,8.735563e-15,8.078065e-15,0.48330662,586.1633,,,,,,,16.073,14.869000000000002,11.841
5,CXOMP J00184+1629,4.6125,16.483055555555552,AGN,1.0009307e-14,4.971135000000001e-15,4.666976e-16,3.378714e-16,1.2706531e-15,,26.16275,,,,,,,,,
6,CXOMP J00186+1634,4.655833333333333,16.57944444444444,AGN,4.353987e-14,1.6128620000000002e-14,6.6837029999999996e-15,7.660021e-15,7.356917e-15,0.2085404,418.2659,19.88511,20.102427,19.326173999999998,,,,,,
7,CXOMP J00186+1637,4.656249999999999,16.632499999999997,AGN,5.2380497000000005e-14,2.553178e-14,9.023198999999999e-15,7.200958e-15,5.1173254e-15,,137.197,,,,,,,,,
8,SDSS J00219+0014,5.4812499999999975,0.2430555555555555,AGN,1.9883836000000006e-14,6.8985690000000006e-15,6.145489e-15,3.198807e-15,2.5156053e-15,0.45315114,48.12561,20.293884,20.441448,19.711422,,,,,,
9,UM 232,5.614583333333332,1.403333333333333,AGN,5.922419e-14,3.403503400000001e-14,1.5602841999999994e-14,6.422866600000001e-15,2.1021348e-15,,915.7136,17.31588,17.509188,16.91822,,,,14.284,13.050999999999998,9.514
10,UM 234,5.763333333333333,1.2591666666666663,AGN,5.3181e-13,1.8991434999999998e-13,1.0209382e-13,7.63283e-14,8.365454999999998e-14,,14392.87,,,,,,,,,
11,SDSS J00231+0022,5.786666666666666,0.3777777777777777,AGN,3.8464698e-14,1.5594385e-14,3.9607612e-15,7.501657500000001e-15,7.884163e-15,,71.21399,,,,,,,,,
12,XMM J00332-1206,8.315416666666666,-12.116388888888887,AGN,2.3326198e-13,7.908238e-14,4.0190765e-14,4.6409613e-14,3.7248677e-14,0.16473764,1153.939,,,,,,,,,
13,XMM J00333-1205,8.335833333333332,-12.093888888888884,AGN,6.813632599999998e-14,3.0195606e-14,1.6723103999999994e-14,7.6653365e-15,6.209624399999999e-15,,136.3508,20.434576,20.57091,19.790495,,,,16.936,15.904000000000002,12.099
14,XMM J00339-1200,8.488333333333333,-12.010555555555555,AGN,4.7450352e-14,2.9741475e-14,9.136507e-15,6.221632e-15,1.096822e-15,,67.82878000000001,,,,,,,,,
15,XMM J00342-1208,8.564583333333331,-12.145833333333332,AGN,3.4865159999999995e-14,8.9829775e-15,9.017457e-15,4.421454e-15,7.0568504e-15,,152.657,,,,,,,16.145,15.593,11.859000000000002
16,XMM J00349-4340,8.728333333333332,-43.680555555555536,AGN,2.232799e-14,5.2545363e-15,7.722633e-15,3.1029608000000005e-15,1.0080586000000001e-15,,379.7463,20.182299,20.292294000000002,19.67728,,,,15.423,14.606,11.333
17,XMM J00352-4324,8.817083333333333,-43.414444444444435,AGN,1.5540956e-14,1.8898463e-15,3.1365592e-15,4.207669e-15,4.410839e-15,0.7355638000000001,408.0657,,,,,,,,,
18,XMM J00358-4314,8.952083333333333,-43.24555555555553,AGN,2.887001e-14,6.3411700000000004e-15,5.1639973e-15,4.0117694999999994e-15,4.6380754e-15,0.18608631,1041.841,,,,,,,16.175,14.923,12.374
19,SDSS J00389+0039,9.747916666666663,0.6641666666666666,AGN,6.596765e-14,2.4647012e-14,1.4976039e-14,9.719840999999999e-15,9.03667e-15,0.25788844,571.9338,,,,,,,,,
20,SDSS J00393+0059,9.843333333333332,0.9974999999999998,AGN,3.9080669999999995e-14,5.2335735e-15,9.135187e-15,9.434538000000001e-15,7.9762645e-15,0.48088726,433.5071,,,,,,,16.317,15.248,12.194
21,SDSS J00396+0042,9.9175,0.7113888888888888,AGN,6.732807400000002e-14,1.8350811e-14,1.2836188999999999e-14,1.2176021000000002e-14,1.0615412e-14,0.39709818,747.2278,,,,,,,16.723,15.253,12.39
22,SDSS J00410-0854,10.259583333333332,-8.902222222222221,AGN,7.761885e-14,3.0439429999999996e-14,1.4780008e-14,1.2982176000000001e-14,1.0393383e-14,0.14957236,697.0107,,,,,,,,,
23,SDSS J00417-0857,10.427083333333332,-8.951111111111109,AGN,1.9904942e-14,8.419826e-15,3.3299802e-15,2.9171137e-15,2.234647e-15,,129.7875,,,,,,,,,
24,SDSS J00421-0912,10.525833333333333,-9.215555555555557,AGN,1.1802113e-14,5.467946700000001e-15,3.567235e-15,2.026103e-15,7.5436635e-17,,62.84376999999999,,,,,,,,,
25,2QZ J004223-2821,10.59875,-28.357777777777766,AGN,1.5284466e-13,9.793857e-14,2.6055327999999997e-14,1.1700003999999998e-14,8.807818e-15,,332.4384,,,,,,,,,
26,SDSS J00428+0102,10.710833333333332,1.035,AGN,1.8837079e-13,4.397449e-14,3.2305372e-14,2.7341792000000003e-14,3.4540652e-14,0.15242933,1660.7220000000002,,,,,,,,,
27,PB 6130,10.812916666666665,1.2458333333333331,AGN,1.2428382999999996e-13,2.3322063e-14,2.3733506e-14,2.1593184e-14,2.4715263e-14,0.024120906,1528.69,,,,,,,,,
28,SDSS J00437+0048,10.928333333333333,0.8113888888888888,AGN,3.360639e-14,6.5839325e-15,1.2297181e-14,7.885083e-15,3.851748e-15,0.2618129,145.7763,,,,,,,,,
29,Q J0046.6-2508,11.66375,-25.1425,AGN,3.5732685e-14,1.3217747499999998e-14,7.745076e-15,6.225173e-15,5.058548e-15,0.42205834,708.9572,20.50347,20.719910000000002,20.056168,,,,17.250999999999998,15.878,11.77
30,RX J00467-2521,11.697916666666664,-25.364166666666666,AGN,1.3982014e-13,3.92497e-14,3.259727e-14,2.2772042e-14,2.0771205e-14,0.4264536,3896.54,,,,,,,,,
31,208.15799.1085,11.815833333333332,-72.68666666666665,AGN,1.487126e-14,5.543261999999999e-15,3.3193629000000002e-15,3.648706e-15,1.5452882e-15,,98.58865,19.534079000000002,19.823092000000003,19.111373999999998,,,,,,
32,S 10785,12.079166666666666,39.686388888888885,AGN,6.1613695999999986e-12,1.8485545e-12,1.3312105e-12,1.1297942e-12,1.1039014e-12,0.038854335,151393.9,,,,,,,,,
33,HXMM J00497-5212,12.449166666666665,-52.213055555555535,AGN,4.127307e-14,6.237587e-15,9.454419e-15,8.249019e-15,4.619695200000001e-15,,528.0179,,,,,,,,,
34,Q J005314+124518,13.308333333333332,12.75472222222222,AGN,1.3619307000000001e-14,0.0,5.6808666e-15,3.1086324999999997e-15,3.1296656e-15,,76.7549,20.526463,20.780592000000002,19.861282,,,,16.491,15.363,11.754000000000001
35,SGP3:19,13.746666666666664,-28.241666666666664,AGN,1.246131e-13,5.8672766e-14,8.948336e-15,1.7872937e-14,1.6562226999999994e-14,,92.91366,19.498333,19.626479999999997,19.047335,,,,15.055,13.889000000000001,10.769
36,207.16316.446,13.894583333333333,-72.4761111111111,AGN,8.252459e-14,2.2493014e-14,2.2910127000000003e-14,1.7635346000000003e-14,8.468571e-15,0.5678930999999999,1222.972,18.811804000000002,18.7339,18.27886,,,,14.427999999999999,13.25,10.176
37,2QZ J005543-2804,13.929999999999998,-28.08222222222221,AGN,6.4393254e-14,9.599491e-15,1.21826885e-14,1.7081583e-14,1.1912088e-14,,251.4878,20.498079999999998,20.580868,20.11478,,,,16.58,15.905999999999999,12.350999999999999
38,SGP3:39,13.930833333333332,-28.4025,AGN,4.693846e-14,2.5200799e-14,5.1702815e-15,3.0484159000000007e-15,3.2911914000000003e-15,,9.458942,,,,,,,16.982,16.016,11.847000000000001
39,2QZ J005549-2803,13.955416666666665,-28.059166666666666,AGN,2.0004137e-14,2.1307674e-16,7.840983000000002e-16,6.6921752e-15,6.1909290000000016e-15,,73.68176,,,,,,,,,
40,SGP3:31,13.95583333333333,-28.48583333333333,AGN,7.422107e-14,2.7676366000000003e-14,1.7104343000000002e-14,9.833328e-15,1.0871532e-14,,34.605540000000005,19.670115,19.900175,19.179126999999998,,,,16.104,14.652999999999999,11.64
41,SGP3:34,14.008749999999996,-28.44916666666667,AGN,5.3551446e-14,2.941529e-14,2.3313034e-15,5.2483759999999994e-15,1.8731903e-15,,25.64562,19.002396,19.263445,18.617342,,,,,,
42,Q 0053-3759,14.015,-37.72583333333333,AGN,6.848560000000002e-14,3.2956317e-14,1.3594683000000001e-14,9.276026999999998e-15,5.6941684e-15,0.17075539,1739.641,,,,,,,,,
43,SDSS J00565+0029,14.137916666666666,0.495,AGN,1.5664178999999995e-14,7.291143599999997e-15,5.776260700000001e-16,3.0326024e-15,2.2081958e-15,,46.4816,,,,,,,,,
44,SDSS J00571-0020,14.297499999999998,-0.3336111111111111,AGN,2.794723e-14,1.2273522e-14,1.8895075e-15,3.367537e-15,3.2602209999999998e-15,,41.12865,,,,,,,,,
45,TON S180,14.334166666666665,-22.382222222222207,AGN,1.5779881e-11,2.3235527999999997e-12,2.1261608e-12,2.5285293e-12,3.9902578e-12,0.09927381,6269909.0,14.690281,14.775295999999999,14.3304,13.624,12.789000000000001,11.774000000000001,10.25,9.187999999999999,6.265
46,SDSS J00578-0034,14.46625,-0.5688888888888888,AGN,1.1684855e-13,3.747265e-14,2.0274789e-14,2.0096231e-14,1.5642026999999995e-14,0.08038169,229.1935,19.16964,19.349966000000002,18.838821,,,,15.46,14.354000000000001,11.145
47,2QZ J005811-2726,14.547499999999998,-27.44333333333333,AGN,1.8065295e-14,2.6364368e-15,1.8319676999999997e-15,3.0151224e-15,3.650323e-15,0.08368075,230.276,20.33096,20.541483,19.764774,,,,16.916,15.999,12.272
48,SDSS J00586-0024,14.66708333333333,-0.40611111111111103,AGN,2.12643e-14,7.4262275e-15,5.849985600000001e-15,4.0188644999999996e-16,9.404413999999999e-16,,36.96896,,,,,,,,,
49,2QZ J005850-2805,14.711666666666664,-28.09638888888889,AGN,6.979964e-14,1.6400494e-14,1.9245241999999998e-14,1.5015843000000002e-14,8.248851e-15,0.042695962,327.0703,20.497529999999998,20.333745999999998,19.856308,,,,15.549000000000001,14.511,12.061
50,SGP4:09,14.729166666666664,-27.527777777777768,AGN,4.4293887e-14,2.9704855e-15,5.8061123e-15,8.771918e-15,1.0154629e-14,,228.1906,,,,,,,,,
51,PHL  923,14.773333333333332,0.11416666666666665,AGN,1.2885733999999998e-12,6.2972896e-13,2.5269053e-13,1.6794057e-13,1.3755375e-13,0.33130813,7851.141,17.47413,17.55605,17.119669000000002,16.277,15.940999999999999,14.661,13.312000000000001,12.144,9.326
52,SDSS J00593-0001,14.849583333333333,-0.02222222222222222,AGN,8.6267365e-14,1.8420236e-14,1.4764508e-14,1.7765632e-14,1.8130723e-14,0.28911602,272.6392,,,,,,,,,
53,SDSS J00594-0023,14.85125,-0.3888888888888888,AGN,3.106157999999999e-14,6.2820758e-15,3.4354366999999995e-15,5.926785e-15,6.171506e-15,,64.14793,20.353056,20.416674,20.230698,,,,,,
54,Q 0057-2754,14.933333333333332,-27.641666666666666,AGN,5.217454e-14,1.5483105e-14,1.1025239e-14,1.0902118e-14,3.3178028999999995e-15,,74.13845,,,,,,,,,
55,SDSS J00597+0002,14.944166666666666,0.048888888888888885,AGN,1.7241413e-13,4.492685e-14,2.948247e-14,3.3584375e-14,2.7788591000000002e-14,0.28225917,789.5961,19.685919000000002,19.674517,19.037447,,,,14.5,13.585999999999999,10.562000000000001
56,SDSS J00598-0013,14.953333333333333,-0.2325,AGN,2.6505694e-14,1.05369425e-14,7.6172117e-16,4.236578e-15,3.0685926000000007e-15,,27.37722,,,,,,,16.697,15.808,11.807
57,SDSS J00598+0029,14.959999999999996,0.4938888888888888,AGN,2.2103635e-13,2.7060000000000003e-14,5.5241514000000005e-14,4.4950205999999995e-14,3.8141206e-14,,966.6459,,,,,,,15.558,14.718,11.931
58,SDSS J01001-0032,15.030416666666666,-0.5383333333333332,AGN,3.7873662000000004e-14,1.032856e-14,7.4632725e-15,6.63576e-15,7.6515984e-15,,111.1044,,,,,,,15.162,14.23,11.671
59,SDSS J01003-0018,15.099583333333333,-0.30277777777777776,AGN,1.913305e-14,5.4976504e-15,3.099912e-15,3.606112e-15,8.268204e-17,,23.08194,20.478023999999998,20.643991,20.162653,,,,,,
60,SDSS J01005+0012,15.131666666666666,0.21638888888888885,AGN,1.06771205e-14,6.939565700000001e-16,3.1113470000000003e-16,2.4837312e-15,1.1756574000000001e-15,,18.82652,,,,,,,,,
61,SDSS J01011+0028,15.27875,0.47111111111111104,AGN,2.236158e-14,1.1162215e-15,7.357141999999997e-15,6.517025799999999e-15,3.7983706e-15,,30.77184,20.438046,20.737683999999998,20.21576,,,,,,
62,SDSS J01012+0004,15.319583333333332,0.08027777777777778,AGN,1.0321881000000001e-13,1.705124e-14,2.263864e-14,1.9420641e-14,1.9520608000000006e-14,0.1702826,710.2971,,,,,,,,,
63,SDSS J01018+0005,15.457083333333333,0.09638888888888887,AGN,1.1401811e-14,0.0,2.6777787e-16,2.5836248000000003e-15,3.6024743e-15,,20.957320000000006,,,,,,,,,
64,SDSS J01020-0004,15.516249999999998,-0.0725,AGN,9.145051e-14,6.158596600000001e-15,2.2355109e-14,1.6344172e-14,1.945476e-14,,370.913,18.926579999999998,19.178577,18.570667,,,,,,
65,PKS 0101-804,15.562916666666665,-80.21083333333333,AGN,3.170132e-13,1.4196685999999998e-13,6.2855706e-14,5.3767463e-14,4.0010906e-14,0.23261565,1182.812,19.887842000000003,20.187414,19.354704,,,,16.498,15.345999999999998,11.673
66,SDSS J01025+0000,15.629166666666665,0.005555555555555555,AGN,1.0294879000000001e-13,5.1225934000000006e-14,2.2745967e-14,1.109276e-14,1.0108855e-14,,153.5735,19.268055,19.470270000000003,18.915356,,,,15.62,14.481,12.023
67,SDSS J01035+0015,15.886666666666665,0.2594444444444444,AGN,5.6264275e-14,1.3915098999999998e-14,1.4197894999999999e-14,1.1236343e-14,8.17597e-15,,176.7712,,,,,,,17.454,15.798,12.378
68,SDSS J01036+0026,15.906249999999998,0.4352777777777777,AGN,1.2447401999999999e-14,3.5857535e-15,3.4020962e-16,1.4998149e-15,2.159717e-15,,25.55787,20.174460999999997,20.408566,19.778170000000003,,,,17.836,16.105999999999998,11.775
69,XMM J01036-0652,15.916249999999998,-6.873888888888887,AGN,8.047193e-14,3.2440684e-14,1.9023789e-14,1.3882203999999999e-14,8.78343e-15,,273.6299,,,,,,,,,
70,SDSS J01038-0002,15.963749999999996,-0.03694444444444444,AGN,2.793249e-14,1.6459972e-15,1.447142e-14,3.5108947999999997e-15,1.5943042e-15,,55.37548,,,,,,,17.633,16.545,11.907
71,XMS J01039-0626,15.997916666666665,-6.448333333333332,AGN,1.3626037e-13,6.5971026e-14,3.6232254e-14,2.1257442e-14,1.0164633e-14,,1261.165,,,,,,,,,
72,XMM J01040-0653,16.022916666666664,-6.899722222222222,AGN,3.6117505e-14,1.3850501e-14,1.38082235e-14,4.5928379999999995e-15,5.2892623e-16,,51.82001,,,,,,,,,
73,XMM J01041-0639,16.04375,-6.657222222222222,AGN,6.047384e-14,1.6520397e-14,1.2235758999999998e-14,1.2389746e-14,1.2213058999999999e-14,0.43128785,1082.654,19.882051,19.971169,19.405967999999998,,,,15.487,14.625,11.585999999999999
74,SDSS J01042-0027,16.061666666666664,-0.4569444444444444,AGN,5.698397e-14,0.0,2.4431107e-14,1.3082548e-14,1.0231658e-14,,64.38978,21.009970000000003,21.067954999999998,19.280834,,,,,,
75,XMM J01045-0644,16.125416666666666,-6.7491666666666665,AGN,1.0350213000000001e-13,4.274656e-14,1.9292224e-14,1.4839548e-14,1.3494773999999998e-14,0.107033394,771.988,,,,,,,,,
76,XBS J01045-5837,16.13583333333333,-58.61972222222222,AGN,3.5480825e-13,1.5537924e-13,7.1980636e-14,4.818660700000001e-14,4.3797782999999995e-14,0.19925928,5263.642,,,,,,,,,
77,XMM J01046-0647,16.156666666666666,-6.793611111111112,AGN,3.6751902e-14,1.5338625e-14,9.006039e-15,6.741334e-15,4.069075e-15,,117.656,20.680546,20.738712,20.067656,,,,16.859,15.913,11.862
78,CT 336,16.17083333333333,-26.95222222222222,AGN,2.2899434e-13,1.8684102e-14,2.5892132000000005e-14,2.8837673999999996e-14,4.6043467999999986e-14,,7905.616,,,,,,,,,
79,XMM J01047-0648,16.186249999999998,-6.809166666666666,AGN,6.356147e-14,1.6901087e-14,1.6592749e-14,1.7972826e-14,8.649514e-15,0.10480039,316.8945,21.08183,20.971388,20.101522,,,,17.226,16.081,12.052
80,SDSS J01048-0028,16.224166666666665,-0.4691666666666666,AGN,2.7767025999999997e-14,7.412168e-15,1.9181864e-15,5.137775300000001e-15,6.1268858e-15,,48.94978,,,,,,,,,
81,SDSS J01049+0025,16.24208333333333,0.4227777777777777,AGN,9.415554e-14,3.677322e-14,1.3571691000000001e-14,1.627037e-14,1.110096e-14,,37.82729000000001,,,,,,,16.785,16.008,12.144
82,SDSS J01050-0007,16.259166666666665,-0.11944444444444442,AGN,5.2898742000000006e-14,1.9811459e-14,1.2272211000000002e-14,8.039415e-15,7.72139e-15,,155.8805,,,,,,,,,
83,SDSS J01051+0008,16.292916666666667,0.14888888888888888,AGN,1.3975935e-14,1.1199565e-15,4.905512e-15,3.590915300000001e-15,8.24127e-16,,23.11852,,,,,,,,,
84,SDSS J01053-0010,16.327499999999993,-0.17694444444444446,AGN,1.1876342e-13,3.937147700000001e-14,2.302342e-14,1.6014286e-14,1.6051476e-14,,442.2574,,,,,,,,,
85,Q J01053-7156,16.343749999999996,-71.94722222222221,AGN,6.2136514e-14,2.8292738000000004e-14,1.6870503e-14,9.8751285e-15,2.9378573e-15,0.45905244,482.2016,19.08699,19.370167000000002,18.577501,,,,,,
86,SDSS J01053-0025,16.34875,-0.4275,AGN,8.1636466e-14,2.2151669999999998e-14,1.7559923e-14,1.3986709500000001e-14,1.1405976e-14,,534.2134,18.59319,18.788748000000002,18.262135999999998,,,,15.689,14.635,11.190999999999999
87,SDSS J01055-0006,16.37833333333333,-0.1086111111111111,AGN,3.0716718e-14,6.013385500000001e-15,2.090524e-15,6.544275999999999e-15,8.207921999999998e-15,,202.3669,20.501835,20.39926,19.8346,,,,,,
88,CS 186,16.38375,-26.859444444444442,AGN,2.7494196000000004e-13,8.7351364e-14,5.5119277e-14,3.9153295e-14,4.460353e-14,0.15333413,1283.188,18.523531,18.639805,18.22468,,,,,,
89,Q 0103+0024,16.43125,0.6677777777777777,AGN,4.8488443e-13,2.0240918e-13,9.496864e-14,6.851505e-14,5.772084999999998e-14,0.16835928,258.1369,,,,,,,,,
90,SDSS J01058-0012,16.460416666666664,-0.215,AGN,7.220884e-14,2.216949e-14,7.245982e-15,1.2313528e-14,1.1259473400000001e-14,,315.2273,,,,,,,,,
91,Q 0103-4238,16.474999999999998,-42.37944444444444,AGN,1.1106253e-13,4.6544825999999986e-14,2.7467048999999997e-14,1.5506728999999997e-14,1.1915788999999999e-14,0.33035398,547.7227,18.79555,18.918228,18.444214000000002,,,,,,
92,SDSS J01060+0015,16.50125,0.2661111111111111,AGN,7.810338e-14,2.1463793e-14,1.6097372e-14,1.0173776e-14,9.699772e-15,,184.5313,,,,,,,,,
93,SDSS J01062+0056,16.56833333333333,0.9488888888888888,AGN,6.839153e-14,2.8229118e-14,1.1034534999999999e-14,9.209944e-15,1.0652194e-14,0.30353576,468.5683,,,,,,,,,
94,SDSS J01063-0029,16.58458333333333,-0.4975,AGN,9.739628000000001e-14,3.752218700000001e-14,3.4743892e-14,8.7752215e-15,1.0985137e-14,,119.2497,20.833358999999998,20.712894,21.055431,,,,15.503,14.642000000000001,11.862
95,SDSS J01067+0056,16.691249999999997,0.9366666666666664,AGN,4.4965588e-14,9.832252e-15,1.19938e-14,1.126428e-14,7.867526e-15,0.20166723,439.6338,20.181026,20.33458,19.685263,,,,16.783,15.71,12.354000000000001
96,XBS J01070-1727,16.756249999999998,-17.462777777777774,AGN,3.1721003999999996e-13,1.324694e-13,5.807096e-14,4.9662555e-14,4.2366125e-14,0.30107954,3899.724,19.79288,19.852875,19.53531,,,,15.582,14.319,11.399000000000001
97,SDSS J01070+0055,16.759166666666665,0.9280555555555554,AGN,5.3944815000000006e-14,2.0218661e-14,1.0342973000000001e-14,1.0322740000000001e-14,6.9374616e-15,,471.3801,19.798727,20.03641,19.417072,,,,,,
98,SDSS J01070+0006,16.77333333333333,0.10249999999999998,AGN,2.3047973e-14,5.3057437e-15,2.7566365e-15,4.3592254e-15,4.424428e-15,,79.15479,19.138157,19.309599,18.824429000000002,,,,15.864,14.512,11.314
99,206.17052.388,16.840416666666666,-72.81277777777777,AGN,4.1097764e-14,1.5728968e-14,1.0931358e-14,7.7639e-15,2.673673e-15,0.28872734,223.9402,,,,,,,,,
100,SDSS J01075+0003,16.874999999999996,0.0661111111111111,AGN,2.2330736e-14,5.7060705000000015e-15,3.754729e-15,5.025451e-15,1.6937002e-15,,68.13208,20.151993,20.719698,19.329477,,,,16.17,14.905999999999999,12.369000000000002
101,SDSS J01076-0010,16.902916666666666,-0.1686111111111111,AGN,2.7548324000000002e-14,8.049371999999999e-15,6.3534999999999996e-15,2.6822906e-15,4.1718223e-15,,90.47654,,,,,,,,,
102,Q 0105-0035,16.904166666666665,-0.31999999999999995,AGN,1.3807621e-13,9.349885000000001e-15,2.4125967000000004e-14,2.845135200000001e-14,3.6053672999999997e-14,0.32170495,1396.034,18.24519,18.35343,17.91238,17.045,16.334,15.241,13.807,12.527000000000001,9.762
103,XBS J01077-1720,16.947916666666664,-17.345,AGN,3.2994516e-13,8.727454e-14,6.220365e-14,5.80904e-14,6.417615e-14,0.075246416,5200.776,17.616606,17.739893,17.37169,16.803,16.215999999999998,15.845,14.142000000000001,12.923,10.027999999999999
104,SDSS J01081+0005,17.047916666666666,0.08972222222222223,AGN,5.740041e-14,1.7302742e-14,1.0843812e-14,9.594421e-15,6.6731084999999996e-15,,118.5441,20.256151000000003,20.220894,19.677889999999998,,,,16.133,15.623,12.41
105,SDSS J01082-0005,17.049999999999994,-0.08777777777777776,AGN,5.436702e-14,4.149197e-15,1.6175543999999998e-14,1.495724e-14,6.9353893e-15,,40.59333,20.704725,20.812195000000003,19.773272,,,,,,
106,SDSS J01082+0007,17.06375,0.11944444444444442,AGN,2.2592742e-14,3.9542543e-15,4.7141343e-15,2.702607e-15,4.3970636e-15,,70.51158000000002,,,,,,,,,
107,SDSS J01082-0018,17.06375,-0.3005555555555555,AGN,2.7480175000000003e-14,1.3609079e-14,9.029033e-15,1.6537369e-15,5.276867e-16,,18.95609,19.41959,19.62146,19.13342,,,,16.265,15.15,11.620999999999999
108,SDSS J01084+0003,17.11875,0.05138888888888888,AGN,1.1359926000000001e-13,5.4837265e-14,1.8481478000000003e-14,1.3175912e-14,1.1809990000000001e-14,0.3304615,396.4104,,,,,,,,,
109,SDSS J01089-0005,17.245416666666664,-0.09888888888888887,AGN,1.0798868399999999e-13,4.4802764e-14,1.8392887e-14,1.4122631999999999e-14,8.356225e-15,,410.7048,20.165808,20.294912,19.752642,,,,16.0,14.933,12.192
110,SDSS J01090+1512,17.251666666666665,15.204722222222221,AGN,2.8755004e-13,1.913001e-13,3.1993644e-14,2.9534769999999995e-14,2.1622652e-14,,515.7562,17.635012,17.900059,16.94481,15.977,15.529000000000002,14.747,14.022,12.956,9.912
111,SDSS J01091+0006,17.281666666666666,0.11388888888888887,AGN,4.1486142e-14,6.620671999999999e-15,7.983031e-15,8.774922499999997e-15,1.0135293e-14,,201.9344,20.014385,20.291231,19.558613,,,,16.7,15.323,11.937000000000001
112,SDSS J01092-0022,17.31583333333333,-0.3777777777777777,AGN,2.0516422e-14,6.426888700000001e-15,9.218742599999999e-17,4.5262e-15,6.579093400000001e-16,,43.27766,,,,,,,,,
113,NAB 0107-15,17.381249999999998,-15.364444444444445,AGN,8.973273e-14,2.7908526e-14,1.1119601999999998e-14,1.2982976000000002e-14,1.2451203999999998e-14,,376.0986,17.639349,17.80109,17.30646,,,,14.062999999999999,12.824000000000002,9.965
