Name,RAJ2000,DEJ2000,Gal_l,Gal_b,Size,Signif,Pivot_E,Flux,F1,F2,F3,F4,F5,F6,F7,F8,PL_Index,LP_Index,LP_SigCurv,Var_Indx,ASSOC1,Class,HR1,HR2,HR3
4FGL J0522.9-3628 ,80.737,-36.4686,240.6185,-32.721592,0.0151,111.115234,419.9278,5.5193062e-11,2.4024935e-11,1.9764346e-11,1.4702234e-11,7.905119e-12,3.5065468e-12,1.794441e-12,1.0647095e-12,4.8708673e-17,2.447654,2.3649004,6.42781,735.7705,PKS 0521-36                 ,AGN,-0.4972866,-0.107872024,-0.44596758
4FGL J0622.9+3326 ,95.7296,33.4335,179.9402,9.151609,0.0137,54.322342,953.59784,2.98376e-11,4.219915e-12,6.0188595e-12,6.884667e-12,5.3482145e-12,4.4161883e-12,1.7899062e-12,1.2483638e-12,1.9748286e-13,2.2164881,2.1264298,5.6879797,2686.062,B2 0619+33                  ,BCU,-0.19587813,0.16451596,-0.055165034
4FGL J1045.1-5940 ,161.2774,-59.6822,287.60138,-0.6245656,0.0125,102.55706,2113.8413,1.8743375e-10,4.2075994e-13,3.2008497e-11,4.6089337e-11,3.7997758e-11,2.381478e-11,1.1289488e-11,5.9487714e-12,9.939251e-13,2.315239,2.3089826,12.319448,81.561424,Eta Carinae                 ,BIN,0.17397256,0.038649596,-0.033041093
4FGL J0050.7-0929 ,12.6753,-9.4936,122.3323,-72.364494,0.0144,82.381485,959.8714,3.652218e-11,3.867325e-12,4.51047e-12,6.053306e-12,6.434398e-12,6.115247e-12,5.6167926e-12,2.852583e-12,6.356566e-13,2.009811,1.919361,5.7357903,173.04103,PKS 0048-09                 ,BLL,-0.16107497,0.3877547,0.26462254
4FGL J0112.1+2245 ,18.0294,22.7515,129.14764,-39.870537,0.0108,140.41649,769.33295,7.881545e-11,1.1306193e-11,1.355593e-11,1.4542238e-11,1.4427206e-11,1.2434173e-11,9.649319e-12,4.631847e-12,5.497605e-13,2.074247,1.9903638,9.411692,475.1801,S2 0109+22                  ,BLL,-0.26189703,0.29867214,0.13020705
4FGL J0211.2+1051 ,32.8091,10.8569,152.58516,-47.36815,0.0126,103.4206,922.2179,6.044584e-11,6.787408e-12,1.0116824e-11,1.0805287e-11,1.0169873e-11,9.607647e-12,7.780783e-12,4.7296472e-12,8.795541e-13,2.0766418,2.0171418,5.4050865,577.5538,MG1 J021114+1051            ,BLL,-0.22010288,0.3700515,0.13688397
4FGL J0222.6+4302 ,35.6696,43.0357,140.14612,-16.765535,0.0081,182.31184,1245.5638,1.3673748e-10,1.0613813e-11,1.5065588e-11,1.9919922e-11,2.1922318e-11,2.3599614e-11,2.1817381e-11,1.842879e-11,7.162043e-12,1.9705373,1.8918941,7.8928633,1444.4158,3C 66A                      ,BLL,-0.12630624,0.4888002,0.31618723
4FGL J0238.6+1637 ,39.668,16.6179,156.7759,-39.10538,0.0104,135.10509,906.3076,9.17422e-11,1.23374765e-11,2.0789155e-11,2.0615844e-11,1.755364e-11,1.27249105e-11,7.096335e-12,2.8774641e-12,5.743594e-19,2.1863697,2.122619,12.093113,5872.72,PKS 0235+164                ,BLL,-0.23279142,0.12782033,-0.051156625
4FGL J0303.4-2407 ,45.8625,-24.1225,214.62746,-60.176105,0.0104,107.5438,973.00244,4.9725793e-11,3.7372063e-12,4.6887737e-12,6.3027686e-12,7.66777e-12,8.043699e-12,9.2670975e-12,8.3485024e-12,3.2765355e-12,1.9135509,1.8494388,4.066779,485.31583,PKS 0301-243                ,BLL,-0.14415422,0.5398473,0.3888513
4FGL J0532.0-4827 ,83.0022,-48.4607,255.02611,-32.804626,0.0127,77.55995,970.82666,3.066127e-11,6.1649865e-12,5.49347e-12,6.7516067e-12,5.9745078e-12,4.3640586e-12,3.0174426e-12,8.4061805e-13,2.836401e-15,2.1946979,2.084648,6.547447,3410.7285,PMN J0531-4827              ,BLL,-0.26653084,0.1583201,0.043393962
4FGL J0538.8-4405 ,84.7089,-44.0862,250.0831,-31.090376,0.0084,234.75085,642.80597,1.5744984e-10,2.354678e-11,3.0596373e-11,3.1986483e-11,2.9200954e-11,2.3269938e-11,1.541323e-11,7.713893e-12,4.6721784e-13,2.1216245,2.0297084,13.870855,10041.657,PKS 0537-441                ,BLL,-0.25724792,0.2274677,0.04063301
4FGL J0721.9+7120 ,110.4882,71.3405,143.98457,28.022398,0.0078,321.00238,1510.6252,2.2183941e-10,2.8108597e-11,3.5576708e-11,4.0921613e-11,3.994232e-11,3.609057e-11,2.5738824e-11,1.4283078e-11,3.2973535e-12,2.064255,2.0564187,17.163704,2863.5242,S5 0716+71                  ,BLL,-0.21761173,0.31166446,0.14177029
4FGL J0809.8+5218 ,122.4617,52.3143,166.24754,32.914417,0.0104,99.78922,1341.7186,4.241708e-11,4.0801165e-12,4.0299183e-12,4.727117e-12,5.7495614e-12,7.099599e-12,8.285689e-12,8.68793e-12,4.6982977e-12,1.8806382,1.8324074,2.4874337,343.8443,1ES 0806+524                ,BLL,-0.26352555,0.61441815,0.4140861
4FGL J0854.8+2006 ,133.7071,20.1159,206.80487,35.82642,0.0122,103.38406,710.9869,5.489181e-11,1.438474e-11,1.3259399e-11,1.16956445e-11,9.637718e-12,6.750776e-12,4.343932e-12,3.2317586e-12,2.805789e-13,2.209501,2.1581697,5.5514865,920.42065,OJ 287                      ,BLL,-0.4054037,0.19565652,-0.092423975
4FGL J0958.7+6534 ,149.6897,65.5678,145.74551,43.12773,0.0131,105.12339,674.472,4.160124e-11,8.400161e-12,9.3810775e-12,8.764081e-12,7.532954e-12,5.4107695e-12,3.2400653e-12,1.9349255e-12,3.9034683e-13,2.1988745,2.1254692,6.041721,2438.0686,S4 0954+65                  ,BLL,-0.3396892,0.16848911,-0.05713455
4FGL J1058.4+0133 ,164.624,1.5641,251.51395,52.772823,0.0133,97.24163,823.6461,5.7340514e-11,1.32186284e-11,1.4196628e-11,1.2748387e-11,9.816815e-12,7.0994053e-12,4.9713298e-12,2.0712037e-12,3.1172095e-13,2.2307928,2.173413,5.1204805,540.1709,4C +01.28                   ,BLL,-0.36517775,0.18052374,-0.10356748
4FGL J1058.6+5627 ,164.6652,56.4634,149.59544,54.43242,0.0121,95.44043,1101.8556,3.1344056e-11,3.3874004e-12,3.5900022e-12,4.2075492e-12,5.2007227e-12,5.3882294e-12,5.174018e-12,5.1412533e-12,6.481629e-13,1.942987,1.8555603,5.2229953,185.7362,TXS 1055+567                ,BLL,-0.24764106,0.50242376,0.3380833
4FGL J1104.4+3812 ,166.1187,38.207,179.83292,65.035706,0.0073,343.7692,1258.2577,4.1710654e-10,2.4843941e-11,2.6475766e-11,3.6813996e-11,4.9045934e-11,6.627194e-11,8.2210905e-11,9.880555e-11,8.012064e-11,1.7807834,1.7348354,4.552603,1618.0674,Mkn 421                     ,BLL,-0.16458756,0.66898245,0.51468354
4FGL J1217.9+3007 ,184.4762,30.1177,188.8493,82.06005,0.0096,145.88005,1248.4348,9.8367654e-11,3.6539734e-12,1.0364658e-11,1.2861252e-11,1.5766418e-11,1.6704504e-11,1.704126e-11,1.619537e-11,3.652531e-12,1.9331402,1.8669914,6.3914165,645.8201,B2 1215+30                  ,BLL,-0.043057453,0.52010334,0.36138248
4FGL J1427.0+2348 ,216.7558,23.8013,29.49318,68.20423,0.0085,163.71143,1254.4047,1.1522836e-10,5.9372915e-12,7.012335e-12,1.1602602e-11,1.6257579e-11,2.0813913e-11,2.5536222e-11,2.1009116e-11,9.1168245e-12,1.8168526,1.7068207,9.333421,370.87347,PKS 1424+240                ,BLL,-0.054863654,0.611141,0.5416319
4FGL J1555.7+1111 ,238.9313,11.1884,21.90802,43.961685,0.0079,120.440445,3802.2622,1.7987647e-10,3.125388e-13,5.928592e-12,1.01286314e-11,1.9137974e-11,3.187251e-11,4.7125748e-11,5.1240928e-11,2.2265986e-11,1.6814327,1.5691522,11.791061,168.59612,PG 1553+113                 ,BLL,0.2374806,0.743763,0.7187716
4FGL J1653.8+3945 ,253.4738,39.7595,63.59974,38.85433,0.008,173.43358,1507.9197,1.1963808e-10,5.501705e-12,7.5321555e-12,1.1076414e-11,1.4598848e-11,1.9150567e-11,2.330355e-11,3.01285e-11,2.9699354e-11,1.7904437,1.7514668,3.0957468,688.1423,Mkn 501                     ,BLL,-0.081187226,0.6650928,0.50811017
4FGL J2009.4-4849 ,302.3595,-48.8248,350.38138,-32.60257,0.0114,69.579865,1534.2146,3.1373147e-11,1.8651324e-12,2.3447906e-12,3.0402946e-12,4.5072717e-12,5.4561173e-12,5.362347e-12,6.8147107e-12,4.8123567e-12,1.8378776,1.7541323,3.5172403,160.51767,PKS 2005-489                ,BLL,-0.16132322,0.5928473,0.47997376
4FGL J2202.7+4216 ,330.6946,42.2821,92.600746,-10.444112,0.0087,239.12292,870.6099,2.588393e-10,4.6757133e-11,5.413512e-11,5.5137544e-11,4.6731476e-11,3.5062255e-11,2.307669e-11,1.1309111e-11,4.281208e-12,2.1770155,2.1187015,14.224444,4421.8706,BL Lac                      ,BLL,-0.2932434,0.19552997,-0.020557482
4FGL J2236.5-1433 ,339.1444,-14.5557,47.88109,-56.21569,0.0121,106.06301,676.67413,5.28497e-11,9.6204746e-12,1.0639011e-11,1.1485854e-11,1.03533545e-11,7.473197e-12,4.225222e-12,1.3811744e-12,3.1281724e-13,2.1579337,2.0453305,9.281006,1812.4861,PKS 2233-148                ,BLL,-0.27637544,0.11634214,-0.0016545232
4FGL J0017.5-0514 ,4.3949,-5.2347,101.209854,-66.667816,0.0474,23.899353,894.58203,9.933278e-12,3.4187447e-12,4.5143863e-12,2.749243e-12,1.3257146e-12,4.684761e-13,3.6080638e-13,6.9783686e-19,2.9305974e-16,2.5351584,2.5720809,3.520575,277.9689,PMN J0017-0512              ,FSRQ,-0.48527488,-0.23036283,-0.5423967
4FGL J0210.7-5101 ,32.6946,-51.0218,276.10577,-61.773746,0.0154,187.13287,557.7483,1.06441085e-10,2.9820073e-11,3.0135935e-11,2.6520027e-11,1.9513103e-11,1.0388245e-11,3.9459313e-12,8.3310393e-13,1.4167729e-13,2.3029833,2.2176058,14.821339,11604.488,PKS 0208-512                ,FSRQ,-0.38665026,-0.12531069,-0.25202063
4FGL J0221.1+3556 ,35.281,35.9359,142.60892,-23.48552,0.0107,126.65385,790.45264,8.007955e-11,1.9017357e-11,2.1786562e-11,1.87808e-11,1.32094075e-11,9.248547e-12,4.7087547e-12,2.6911787e-12,2.4516042e-13,2.2803261,2.2454233,7.6518683,3546.609,B2 0218+357                 ,FSRQ,-0.3696102,0.11518139,-0.19784212
4FGL J0237.8+2848 ,39.4737,28.8044,149.46959,-28.524496,0.0123,175.53574,511.63052,1.2323222e-10,3.363688e-11,3.3913816e-11,3.1255235e-11,2.1508099e-11,1.3132563e-11,6.4636512e-12,9.777989e-13,1.8916246e-13,2.2854118,2.1798167,15.585085,7505.5464,4C +28.07                   ,FSRQ,-0.36734092,-0.022196753,-0.22644186
4FGL J0403.9-3605 ,60.975,-36.087,237.74768,-48.48257,0.0137,143.03984,335.96643,6.767256e-11,2.8987139e-11,2.700955e-11,1.9068573e-11,8.854083e-12,2.6601145e-12,3.7511186e-13,1.6087613e-13,3.197033e-17,2.5280633,2.38066,14.374932,6801.102,PKS 0402-362                ,FSRQ,-0.49194682,-0.46953472,-0.5897935
4FGL J0423.3-0120 ,65.826,-1.3342,195.2881,-33.126907,0.0159,67.06077,630.8774,3.3588115e-11,1.0753543e-11,9.53622e-12,8.513865e-12,5.880069e-12,3.3273614e-12,1.5087361e-12,3.997144e-13,2.8309388e-18,2.346682,2.252544,6.4115133,1299.826,PKS 0420-01                 ,FSRQ,-0.40883383,-0.057958264,-0.2549487
4FGL J0457.0-2324 ,74.2608,-23.4149,223.71014,-34.899055,0.0089,235.50218,639.66003,1.8146283e-10,3.673832e-11,4.2492315e-11,4.2683627e-11,3.413261e-11,2.2450328e-11,1.2257337e-11,3.959356e-12,4.7864447e-13,2.1988046,2.1159453,18.667492,4184.4746,PKS 0454-234                ,FSRQ,-0.29977632,0.062286176,-0.106064595
